CustomerID,Gender,AgeGroup,LoyaltyTier,Region,City,SignupDate
C00001,M,35-44,Guest,North,Delhi,11-11-2020
C00002,F,45-54,Bronze,North,Delhi,23-09-2022
C00003,F,55-64,Bronze,Central,Bhopal,04-08-2025
C00004,M,35-44,Guest,South,Chennai,13-03-2021
C00005,M,65+,Bronze,West,Mumbai,27-04-2023
C00006,M,65+,Bronze,East,Guwahati,14-07-2020
C00007,Other,25-34,Silver,West,Ahmedabad,02-02-2023
C00008,M,55-64,Silver,North,Delhi,28-12-2020
C00009,F,35-44,Silver,West,Surat,05-11-2023
C00010,F,25-34,Silver,Central,Indore,15-05-2021
C00011,F,35-44,Bronze,Central,Nagpur,01-12-2023
C00012,F,25-34,Bronze,North,Chandigarh,16-02-2021
C00013,M,55-64,Silver,West,Mumbai,07-06-2021
C00014,M,55-64,Gold,West,Ahmedabad,19-12-2022
C00015,F,25-34,Bronze,North,Chandigarh,01-01-2020
C00016,M,35-44,Bronze,South,Chennai,22-06-2022
C00017,M,18-24,Bronze,South,Bengaluru,15-09-2024
C00018,M,18-24,Bronze,East,Patna,14-01-2022
C00019,F,25-34,Silver,West,Pune,14-03-2025
C00020,F,18-24,Bronze,North,Chandigarh,06-08-2021
C00021,M,55-64,Silver,East,Patna,27-10-2025
C00022,M,65+,Silver,East,Bhubaneswar,08-12-2021
C00023,F,25-34,Bronze,South,Kochi,07-03-2023
C00024,F,18-24,Bronze,West,Pune,10-03-2025
C00025,F,25-34,Silver,East,Kolkata,23-02-2022
C00026,Other,45-54,Silver,West,Mumbai,22-02-2021
C00027,M,25-34,Bronze,North,Delhi,09-03-2020
C00028,Other,45-54,Bronze,Central,Raipur,07-05-2022
C00029,M,25-34,Bronze,Central,Raipur,18-02-2024
C00030,F,25-34,Silver,East,Bhubaneswar,09-07-2020
C00031,M,25-34,Bronze,East,Patna,09-06-2021
C00032,F,55-64,Silver,South,Hyderabad,25-05-2020
C00033,M,25-34,Silver,East,Patna,07-12-2021
C00034,F,18-24,Gold,South,Chennai,24-09-2021
C00035,F,45-54,Platinum,East,Patna,26-10-2024
C00036,M,45-54,Silver,West,Ahmedabad,16-10-2024
C00037,F,25-34,Silver,East,Bhubaneswar,20-07-2023
C00038,M,55-64,Bronze,North,Delhi,21-04-2022
C00039,M,18-24,Bronze,South,Kochi,25-04-2022
C00040,F,65+,Bronze,Central,Nagpur,26-10-2021
C00041,F,35-44,Bronze,South,Kochi,10-05-2025
C00042,F,18-24,Bronze,East,Bhubaneswar,13-02-2024
C00043,M,25-34,Silver,South,Chennai,10-01-2024
C00044,M,45-54,Platinum,West,Pune,16-10-2025
C00045,F,55-64,Platinum,West,Surat,14-01-2023
C00046,F,35-44,Silver,South,Hyderabad,13-01-2024
C00047,Other,55-64,Silver,South,Bengaluru,06-09-2025
C00048,F,45-54,Silver,North,Delhi,20-02-2022
C00049,M,25-34,Gold,Central,Raipur,06-07-2021
C00050,M,18-24,Bronze,Central,Indore,15-02-2024
C00051,M,35-44,Bronze,South,Kochi,10-11-2023
C00052,M,35-44,Silver,South,Bengaluru,07-12-2020
C00053,F,35-44,Bronze,Central,Nagpur,01-02-2020
C00054,M,18-24,Platinum,North,Delhi,29-01-2025
C00055,M,35-44,Bronze,Central,Raipur,20-12-2020
C00056,F,55-64,Silver,East,Patna,26-03-2024
C00057,F,45-54,Guest,Central,Nagpur,08-11-2023
C00058,F,18-24,Silver,South,Kochi,26-04-2020
C00059,F,35-44,Bronze,East,Patna,18-01-2022
C00060,F,45-54,Silver,West,Pune,13-12-2021
C00061,M,55-64,Gold,South,Chennai,26-11-2024
C00062,F,25-34,Bronze,East,Bhubaneswar,27-08-2025
C00063,M,35-44,Gold,South,Kochi,09-01-2021
C00064,F,45-54,Gold,Central,Indore,12-08-2020
C00065,F,25-34,Bronze,East,Bhubaneswar,05-08-2025
C00066,M,18-24,Bronze,South,Kochi,20-01-2024
C00067,M,55-64,Bronze,West,Mumbai,30-10-2025
C00068,F,25-34,Silver,West,Ahmedabad,05-01-2020
C00069,F,35-44,Gold,West,Pune,05-03-2020
C00070,M,35-44,Bronze,East,Patna,01-10-2023
C00071,Other,18-24,Silver,West,Mumbai,24-04-2023
C00072,F,65+,Bronze,West,Surat,26-09-2021
C00073,F,25-34,Silver,West,Pune,23-09-2023
C00074,M,45-54,Guest,West,Mumbai,25-05-2021
C00075,F,55-64,Bronze,South,Chennai,11-12-2022
C00076,M,25-34,Platinum,North,Lucknow,02-03-2020
C00077,Other,45-54,Silver,Central,Raipur,06-08-2022
C00078,F,35-44,Bronze,West,Surat,08-12-2024
C00079,M,25-34,Silver,East,Patna,12-07-2023
C00080,F,35-44,Gold,East,Kolkata,25-09-2023
C00081,M,45-54,Bronze,Central,Nagpur,20-11-2021
C00082,Other,45-54,Gold,Central,Bhopal,10-10-2024
C00083,M,65+,Silver,North,Delhi,29-01-2024
C00084,F,25-34,Bronze,South,Hyderabad,20-10-2021
C00085,F,45-54,Bronze,East,Bhubaneswar,06-03-2025
C00086,M,35-44,Bronze,West,Pune,20-12-2020
C00087,M,25-34,Bronze,Central,Bhopal,11-01-2022
C00088,F,35-44,Silver,East,Guwahati,12-06-2024
C00089,M,18-24,Platinum,South,Hyderabad,25-08-2024
C00090,M,35-44,Bronze,East,Guwahati,24-05-2023
C00091,F,25-34,Silver,Central,Bhopal,30-05-2025
C00092,M,25-34,Gold,East,Guwahati,13-02-2024
C00093,F,45-54,Bronze,South,Kochi,26-07-2023
C00094,F,18-24,Gold,South,Kochi,09-07-2023
C00095,M,18-24,Gold,South,Chennai,25-06-2025
C00096,F,45-54,Gold,North,Chandigarh,18-10-2020
C00097,F,55-64,Gold,Central,Nagpur,21-08-2025
C00098,F,35-44,Silver,Central,Nagpur,04-01-2020
C00099,M,35-44,Bronze,South,Bengaluru,07-12-2022
C00100,F,25-34,Bronze,West,Pune,21-05-2021
C00101,F,45-54,Guest,North,Delhi,31-03-2022
C00102,F,18-24,Platinum,Central,Nagpur,22-04-2020
C00103,M,25-34,Bronze,Central,Nagpur,02-06-2022
C00104,F,25-34,Bronze,Central,Nagpur,07-01-2022
C00105,M,25-34,Gold,South,Chennai,17-01-2023
C00106,M,55-64,Bronze,North,Delhi,07-02-2023
C00107,F,55-64,Silver,South,Chennai,08-03-2024
C00108,F,35-44,Silver,South,Chennai,21-01-2021
C00109,M,18-24,Bronze,East,Guwahati,13-02-2021
C00110,M,25-34,Gold,West,Ahmedabad,25-08-2023
C00111,F,55-64,Bronze,South,Bengaluru,13-02-2025
C00112,M,35-44,Bronze,Central,Bhopal,15-08-2024
C00113,M,55-64,Bronze,East,Patna,19-04-2023
C00114,M,25-34,Bronze,South,Hyderabad,16-03-2023
C00115,F,45-54,Silver,West,Pune,10-04-2025
C00116,M,25-34,Bronze,South,Hyderabad,17-03-2020
C00117,M,55-64,Bronze,West,Mumbai,30-01-2023
C00118,F,65+,Platinum,West,Pune,25-04-2025
C00119,F,45-54,Silver,North,Delhi,28-08-2022
C00120,M,35-44,Silver,East,Patna,16-03-2025
C00121,M,55-64,Bronze,North,Chandigarh,04-03-2022
C00122,M,25-34,Bronze,North,Delhi,24-02-2025
C00123,M,55-64,Bronze,Central,Raipur,11-10-2020
C00124,F,18-24,Silver,East,Patna,23-01-2022
C00125,F,35-44,Bronze,Central,Bhopal,07-10-2020
C00126,M,45-54,Silver,North,Lucknow,06-06-2023
C00127,F,45-54,Bronze,East,Bhubaneswar,17-03-2021
C00128,F,35-44,Guest,South,Kochi,28-05-2021
C00129,M,45-54,Guest,West,Pune,12-12-2020
C00130,F,45-54,Silver,Central,Nagpur,05-12-2021
C00131,F,35-44,Gold,West,Pune,07-07-2022
C00132,M,25-34,Silver,West,Mumbai,08-07-2025
C00133,F,45-54,Silver,East,Patna,07-02-2023
C00134,F,65+,Bronze,West,Ahmedabad,21-06-2025
C00135,M,45-54,Gold,South,Hyderabad,26-03-2020
C00136,M,18-24,Bronze,South,Hyderabad,25-06-2023
C00137,F,25-34,Silver,North,Delhi,06-04-2024
C00138,F,65+,Bronze,North,Delhi,22-09-2021
C00139,F,25-34,Guest,Central,Raipur,10-07-2024
C00140,F,65+,Gold,Central,Raipur,08-01-2020
C00141,F,25-34,Bronze,West,Pune,08-04-2024
C00142,F,25-34,Bronze,East,Guwahati,21-09-2022
C00143,M,65+,Bronze,Central,Raipur,20-08-2023
C00144,F,45-54,Platinum,North,Chandigarh,02-03-2025
C00145,F,55-64,Bronze,Central,Raipur,03-06-2020
C00146,M,65+,Bronze,South,Hyderabad,31-12-2020
C00147,M,18-24,Bronze,South,Hyderabad,11-10-2025
C00148,F,25-34,Bronze,Central,Indore,08-12-2023
C00149,F,25-34,Bronze,North,Jaipur,29-03-2021
C00150,M,25-34,Bronze,West,Ahmedabad,01-06-2021
C00151,M,25-34,Silver,South,Kochi,12-01-2025
C00152,F,25-34,Bronze,East,Guwahati,27-06-2020
C00153,M,25-34,Bronze,South,Kochi,10-07-2024
C00154,F,25-34,Bronze,Central,Raipur,14-06-2023
C00155,M,25-34,Bronze,East,Kolkata,25-07-2020
C00156,F,45-54,Gold,West,Ahmedabad,29-11-2023
C00157,F,45-54,Silver,East,Kolkata,23-10-2024
C00158,M,18-24,Silver,West,Pune,22-02-2023
C00159,M,25-34,Bronze,West,Surat,02-07-2023
C00160,F,35-44,Bronze,East,Kolkata,30-01-2024
C00161,F,65+,Silver,West,Surat,01-08-2024
C00162,M,35-44,Bronze,East,Guwahati,29-10-2022
C00163,M,35-44,Silver,West,Mumbai,20-11-2021
C00164,M,25-34,Bronze,West,Mumbai,12-08-2023
C00165,M,18-24,Silver,West,Mumbai,11-07-2025
C00166,F,35-44,Silver,Central,Raipur,05-07-2025
C00167,F,35-44,Silver,West,Mumbai,16-11-2021
C00168,M,55-64,Gold,East,Kolkata,23-06-2024
C00169,F,45-54,Silver,Central,Bhopal,12-03-2020
C00170,Other,35-44,Platinum,North,Jaipur,08-02-2024
C00171,M,18-24,Bronze,Central,Raipur,03-09-2020
C00172,M,55-64,Silver,North,Lucknow,27-11-2022
C00173,F,25-34,Bronze,West,Mumbai,24-02-2025
C00174,F,35-44,Silver,Central,Nagpur,22-06-2022
C00175,F,35-44,Silver,South,Chennai,30-05-2023
C00176,M,35-44,Silver,Central,Raipur,05-08-2023
C00177,F,35-44,Silver,Central,Raipur,05-11-2023
C00178,M,55-64,Bronze,North,Delhi,25-02-2022
C00179,F,25-34,Silver,South,Hyderabad,26-08-2022
C00180,M,65+,Bronze,Central,Bhopal,08-01-2023
C00181,M,35-44,Platinum,West,Ahmedabad,04-07-2020
C00182,M,55-64,Bronze,West,Pune,13-03-2023
C00183,F,45-54,Bronze,South,Kochi,13-04-2023
C00184,F,45-54,Silver,North,Delhi,07-03-2025
C00185,F,25-34,Silver,North,Chandigarh,01-09-2024
C00186,F,55-64,Bronze,Central,Raipur,15-01-2022
C00187,M,18-24,Guest,South,Chennai,08-02-2025
C00188,M,25-34,Gold,West,Pune,29-04-2022
C00189,M,18-24,Silver,West,Surat,04-01-2024
C00190,F,25-34,Bronze,East,Patna,24-01-2024
C00191,F,55-64,Bronze,West,Pune,28-07-2020
C00192,M,55-64,Bronze,North,Jaipur,24-02-2021
C00193,Other,55-64,Guest,West,Pune,15-09-2021
C00194,F,25-34,Bronze,North,Chandigarh,06-08-2020
C00195,M,35-44,Bronze,West,Surat,12-12-2020
C00196,M,45-54,Silver,North,Delhi,10-05-2022
C00197,F,65+,Platinum,South,Chennai,28-08-2025
C00198,M,35-44,Silver,East,Kolkata,01-06-2023
C00199,F,35-44,Bronze,Central,Nagpur,13-07-2025
C00200,F,25-34,Bronze,South,Bengaluru,12-12-2022
C00201,Other,55-64,Gold,North,Chandigarh,11-07-2025
C00202,M,55-64,Gold,Central,Raipur,13-01-2020
C00203,F,65+,Bronze,East,Kolkata,01-05-2024
C00204,M,65+,Silver,East,Patna,11-05-2020
C00205,F,18-24,Silver,West,Ahmedabad,17-02-2022
C00206,M,45-54,Bronze,South,Hyderabad,16-02-2020
C00207,M,35-44,Platinum,East,Bhubaneswar,30-01-2022
C00208,M,55-64,Gold,South,Kochi,31-05-2020
C00209,F,35-44,Gold,South,Hyderabad,22-04-2025
C00210,F,18-24,Platinum,Central,Indore,23-11-2024
C00211,M,35-44,Gold,East,Kolkata,14-09-2021
C00212,F,18-24,Silver,South,Kochi,09-02-2022
C00213,M,25-34,Guest,West,Ahmedabad,28-09-2025
C00214,F,65+,Gold,Central,Nagpur,06-06-2022
C00215,F,65+,Gold,South,Chennai,31-05-2023
C00216,F,45-54,Silver,South,Chennai,17-04-2023
C00217,M,35-44,Bronze,East,Kolkata,24-04-2024
C00218,M,18-24,Silver,East,Patna,18-09-2023
C00219,F,25-34,Bronze,Central,Bhopal,22-10-2022
C00220,M,25-34,Platinum,West,Surat,24-01-2025
