SnapshotDate,StoreID,ProductID,StockOnHand,ReorderPoint
01-01-2024,S029,P0157,382,115
01-01-2024,S029,P0115,188,117
01-01-2024,S029,P0164,200,93
01-01-2024,S029,P0084,102,51
01-01-2024,S029,P0087,385,73
01-01-2024,S029,P0129,165,34
01-01-2024,S029,P0161,27,127
01-01-2024,S029,P0031,390,42
01-01-2024,S029,P0145,167,102
01-01-2024,S029,P0112,249,85
01-01-2024,S029,P0035,371,122
01-01-2024,S029,P0040,126,24
01-01-2024,S029,P0018,79,126
01-01-2024,S029,P0106,209,28
01-01-2024,S029,P0006,40,143
01-01-2024,S029,P0107,134,90
01-01-2024,S029,P0083,237,101
01-01-2024,S029,P0052,127,49
01-01-2024,S029,P0162,81,63
01-01-2024,S029,P0003,166,128
01-01-2024,S029,P0110,249,37
01-01-2024,S029,P0091,172,83
01-01-2024,S029,P0059,437,116
01-01-2024,S029,P0024,266,86
01-01-2024,S029,P0019,144,22
01-01-2024,S029,P0131,442,52
01-01-2024,S029,P0098,138,121
01-01-2024,S029,P0128,33,86
01-01-2024,S029,P0092,277,40
01-01-2024,S029,P0005,365,43
01-01-2024,S029,P0033,60,21
01-01-2024,S029,P0138,48,47
01-01-2024,S029,P0109,206,21
01-01-2024,S029,P0176,213,66
01-01-2024,S029,P0168,133,39
01-01-2024,S029,P0013,341,70
01-01-2024,S029,P0014,375,39
01-01-2024,S029,P0081,19,36
01-01-2024,S029,P0174,11,137
01-01-2024,S029,P0002,304,23
01-01-2024,S029,P0077,450,142
01-01-2024,S029,P0021,426,149
01-01-2024,S029,P0036,162,59
01-01-2024,S029,P0141,409,72
01-01-2024,S029,P0088,479,125
01-01-2024,S029,P0153,151,54
01-01-2024,S029,P0045,30,130
01-01-2024,S029,P0130,13,115
01-01-2024,S029,P0025,453,135
01-01-2024,S029,P0039,188,112
01-01-2024,S029,P0159,313,61
01-01-2024,S029,P0015,29,36
01-01-2024,S029,P0075,274,109
01-01-2024,S029,P0122,463,73
01-01-2024,S029,P0120,111,97
01-01-2024,S029,P0060,418,119
01-01-2024,S029,P0171,386,126
01-01-2024,S029,P0175,229,120
01-01-2024,S029,P0022,485,26
01-01-2024,S029,P0067,443,48
01-01-2024,S029,P0156,294,35
01-01-2024,S029,P0103,68,144
01-01-2024,S029,P0054,231,119
01-01-2024,S029,P0047,366,54
01-01-2024,S029,P0167,136,125
01-01-2024,S029,P0090,77,62
01-01-2024,S029,P0102,304,76
01-01-2024,S029,P0057,460,64
01-01-2024,S029,P0062,147,35
01-01-2024,S029,P0154,335,105
01-01-2024,S029,P0076,113,70
01-01-2024,S029,P0056,135,47
01-01-2024,S029,P0095,393,53
01-01-2024,S029,P0028,113,34
01-01-2024,S029,P0152,70,92
01-01-2024,S029,P0137,402,145
01-01-2024,S029,P0139,389,100
01-01-2024,S029,P0166,103,57
01-01-2024,S029,P0026,104,78
01-01-2024,S029,P0029,79,52
01-01-2024,S029,P0034,93,57
01-01-2024,S029,P0101,324,42
01-01-2024,S029,P0020,33,86
01-01-2024,S029,P0017,254,35
01-01-2024,S029,P0123,96,87
01-01-2024,S029,P0136,459,83
01-01-2024,S029,P0044,195,87
01-01-2024,S029,P0011,96,31
01-01-2024,S029,P0094,496,83
01-01-2024,S029,P0143,236,76
01-01-2024,S029,P0032,120,91
01-01-2024,S029,P0071,237,58
01-01-2024,S029,P0113,17,99
01-01-2024,S029,P0061,453,45
01-01-2024,S029,P0042,175,101
01-01-2024,S029,P0063,458,106
01-01-2024,S029,P0117,16,39
01-01-2024,S029,P0051,439,68
01-01-2024,S029,P0086,311,88
01-01-2024,S029,P0146,495,38
01-01-2024,S029,P0134,262,31
01-01-2024,S029,P0012,71,37
01-01-2024,S029,P0148,483,73
01-01-2024,S029,P0105,329,110
01-01-2024,S029,P0096,217,54
01-01-2024,S029,P0116,213,47
01-01-2024,S029,P0133,377,143
01-01-2024,S029,P0079,132,130
01-01-2024,S029,P0135,490,121
01-01-2024,S029,P0041,365,122
01-01-2024,S029,P0180,157,51
01-01-2024,S029,P0121,175,136
01-01-2024,S029,P0007,300,39
01-01-2024,S029,P0119,52,110
01-01-2024,S029,P0082,314,86
01-01-2024,S029,P0068,132,119
01-01-2024,S029,P0124,5,65
01-01-2024,S029,P0142,300,61
01-01-2024,S029,P0170,400,64
01-01-2024,S029,P0140,15,145
01-01-2024,S029,P0108,304,91
01-01-2024,S029,P0147,445,78
01-01-2024,S029,P0160,328,100
01-01-2024,S029,P0074,2,122
01-01-2024,S029,P0064,413,53
01-01-2024,S029,P0118,10,111
01-01-2024,S029,P0004,464,84
01-01-2024,S029,P0155,30,118
01-01-2024,S029,P0104,187,126
01-01-2024,S029,P0050,494,33
01-01-2024,S029,P0089,370,134
01-01-2024,S029,P0008,61,56
01-01-2024,S029,P0114,118,75
01-01-2024,S029,P0097,70,135
