PromoID,ProductID,StoreID,StartDate,EndDate,PromoType,DiscountPct,Channel,StoreScope
PR0001,P0101,S022,08-03-2024,28-03-2024,Price Cut,0.19,In-Store,Single
PR0002,P0014,,26-09-2024,12-10-2024,Price Cut,0.29,Both,All
PR0003,P0048,S015,10-10-2024,24-10-2024,Price Cut,0.21,Both,Single
PR0004,P0059,S003,06-08-2024,15-08-2024,Price Cut,0.02,Both,Single
PR0005,P0072,,24-03-2024,05-04-2024,Price Cut,0.2,Online,All
PR0006,P0044,S030,26-01-2024,01-02-2024,Price Cut,0.24,Both,Single
PR0007,P0084,S008,24-03-2024,11-04-2024,Flash Sale,0.14,In-Store,Single
PR0008,P0162,S004,02-04-2025,22-04-2025,Flash Sale,0.17,In-Store,Single
PR0009,P0112,,17-01-2024,24-01-2024,Price Cut,0.17,In-Store,All
PR0010,P0037,S023,15-12-2024,23-12-2024,BOGO,0.5,Online,Single
PR0011,P0153,,10-12-2024,24-12-2024,Price Cut,0.15,In-Store,All
PR0012,P0095,S025,04-02-2025,23-02-2025,Flash Sale,0.17,Both,Single
PR0013,P0142,,21-04-2024,02-05-2024,Price Cut,0.18,In-Store,All
PR0014,P0123,,31-03-2025,12-04-2025,Coupon,0.02,Online,All
PR0015,P0151,,23-06-2024,30-06-2024,Coupon,0.2,In-Store,All
PR0016,P0125,,26-04-2025,10-05-2025,Price Cut,0.2,In-Store,All
PR0017,P0053,,24-04-2024,03-05-2024,Bundle,0.28,Both,All
PR0018,P0104,,30-05-2024,13-06-2024,Coupon,0.14,In-Store,All
PR0019,P0123,S028,02-02-2024,11-02-2024,Price Cut,0.07,In-Store,Single
PR0020,P0042,,09-09-2024,22-09-2024,Price Cut,0.26,In-Store,All
PR0021,P0093,S022,15-02-2024,26-02-2024,Price Cut,0.03,Online,Single
PR0022,P0164,S008,10-03-2024,29-03-2024,Price Cut,0.08,In-Store,Single
PR0023,P0038,,21-08-2024,03-09-2024,Price Cut,0.02,In-Store,All
PR0024,P0104,S005,29-02-2024,18-03-2024,Coupon,0.28,In-Store,Single
PR0025,P0004,S030,19-12-2024,30-12-2024,Price Cut,0.17,Both,Single
PR0026,P0099,S024,27-05-2025,08-06-2025,Flash Sale,0.13,Online,Single
PR0027,P0045,S025,21-10-2024,05-11-2024,Price Cut,0.13,In-Store,Single
PR0028,P0119,S006,20-02-2024,28-02-2024,Price Cut,0.2,Online,Single
PR0029,P0053,S024,18-12-2024,06-01-2025,Price Cut,0.02,In-Store,Single
PR0030,P0032,,01-10-2024,05-10-2024,Price Cut,0.18,In-Store,All
PR0031,P0172,,09-03-2025,25-03-2025,Coupon,0.2,In-Store,All
PR0032,P0006,,22-02-2025,09-03-2025,Price Cut,0.03,Both,All
PR0033,P0168,S001,01-09-2025,07-09-2025,Price Cut,0.13,In-Store,Single
PR0034,P0149,S021,04-05-2024,11-05-2024,Price Cut,0.1,Both,Single
PR0035,P0057,S007,11-09-2024,17-09-2024,Flash Sale,0.05,Both,Single
PR0036,P0122,,16-11-2024,01-12-2024,BOGO,0.5,Both,All
PR0037,P0170,S023,16-07-2024,25-07-2024,Coupon,0.3,In-Store,Single
PR0038,P0158,,04-09-2025,16-09-2025,Price Cut,0.22,In-Store,All
PR0039,P0083,S028,13-04-2024,18-04-2024,Price Cut,0.15,Online,Single
