ReturnID,TransactionID,ReturnDate,StoreID,ProductID,ReturnQty,ReturnAmount,Reason
R0000005,T0000005,06-06-2024,S016,P0119,1,5,Expired
R0000073,T0000073,06-05-2025,S020,P0034,2,5.9,Damaged
R0000077,T0000077,07-02-2025,S021,P0086,2,12.82,Changed Mind
R0000083,T0000083,10-01-2024,S013,P0113,1,4.02,Not as Described
R0000112,T0000112,27-09-2025,S003,P0048,1,6.73,Changed Mind
R0000136,T0000136,02-09-2024,S005,P0104,2,2.22,Damaged
R0000161,T0000161,09-10-2025,S023,P0057,1,6.02,Changed Mind
R0000190,T0000190,08-10-2024,S022,P0162,1,42.91,Not as Described
R0000191,T0000191,21-12-2024,S004,P0009,1,8.97,Wrong Item
R0000245,T0000245,13-09-2024,S010,P0039,2,4.38,Not as Described
R0000249,T0000249,15-08-2025,S014,P0101,1,1.75,Damaged
R0000260,T0000260,15-08-2025,S007,P0094,1,3.28,Damaged
R0000311,T0000311,22-05-2025,S009,P0179,2,71.72,Changed Mind
R0000313,T0000313,09-04-2024,S004,P0180,1,38.94,Wrong Item
R0000371,T0000371,12-12-2024,S002,P0072,2,10.18,Changed Mind
R0000388,T0000388,18-08-2025,S002,P0082,1,5.48,Damaged
R0000488,T0000488,17-07-2025,S001,P0053,1,1.95,Damaged
R0000522,T0000522,07-03-2025,S001,P0155,2,53.88,Not as Described
R0000580,T0000580,19-04-2025,S021,P0020,1,4.76,Expired
R0000632,T0000632,31-10-2025,S021,P0160,1,32.57,Expired
R0000668,T0000668,15-10-2024,S030,P0017,1,9.37,Wrong Item
R0000673,T0000673,30-06-2024,S024,P0170,2,25.08,Changed Mind
R0000682,T0000682,11-10-2025,S002,P0173,1,53.66,Not as Described
R0000730,T0000730,04-12-2024,S010,P0149,2,11.18,Expired
R0000795,T0000795,06-10-2025,S002,P0131,2,6.46,Damaged
R0000808,T0000808,26-03-2025,S002,P0105,1,2.73,Changed Mind
R0000816,T0000816,10-03-2025,S024,P0118,2,3.74,Wrong Item
R0000820,T0000820,27-06-2025,S016,P0041,2,4.52,Wrong Item
R0000827,T0000827,02-05-2024,S007,P0059,1,5.72,Changed Mind
R0000834,T0000834,15-02-2025,S020,P0020,1,4.76,Changed Mind
R0000898,T0000898,17-07-2025,S018,P0101,2,3.58,Damaged
R0000941,T0000941,23-03-2025,S007,P0011,1,4.42,Changed Mind
R0000983,T0000983,04-02-2024,S016,P0058,1,6.24,Wrong Item
R0000999,T0000999,11-07-2024,S009,P0050,1,1.05,Expired
R0001065,T0001065,29-09-2025,S006,P0147,2,10.82,Damaged
R0001087,T0001087,06-01-2024,S023,P0122,2,5.89,Changed Mind
R0001121,T0001121,03-11-2024,S007,P0061,1,1.77,Changed Mind
