TransactionID,TransactionDate,StoreID,ProductID,CustomerID,Channel,Quantity,UnitPrice,GrossSales,DiscountAmount,NetSales,COGS,GrossMargin,PaymentMethod
T0000001,23-09-2025,S014,P0160,C04800,In-Store,2,32.57,65.14,0,65.14,40.86,24.28,Cash
T0000002,31-07-2025,S013,P0025,,In-Store,4,8.09,32.36,0,32.36,19,13.36,Card
T0000003,06-06-2025,S019,P0003,C03085,In-Store,1,7.23,7.23,0,7.23,4.86,2.37,Cash
T0000004,28-05-2024,S007,P0050,C01762,In-Store,5,1.33,6.65,0,6.65,4.3,2.35,UPI
T0000005,06-06-2024,S016,P0119,,In-Store,4,6.03,24.12,4.1,20.02,17.28,2.74,Card
T0000006,07-08-2024,S004,P0089,C00202,In-Store,1,4.42,4.42,0,4.42,3.48,0.94,Card
T0000007,02-03-2025,S018,P0179,C04951,In-Store,1,38.56,38.56,5.01,33.55,29.71,3.84,Card
T0000008,02-04-2024,S029,P0056,C02062,Online,4,3.6,14.4,2.45,11.95,9.84,2.11,Cash
T0000009,02-07-2024,S017,P0152,C00056,In-Store,1,50.51,50.51,0,50.51,33.74,16.77,Card
T0000010,14-11-2024,S022,P0044,C03837,In-Store,5,7.73,38.65,0,38.65,26.4,12.25,Card
T0000011,24-10-2025,S003,P0135,C00483,Online,5,5.42,27.1,0,27.1,15.4,11.7,Card
T0000012,27-06-2025,S009,P0128,C03763,Online,2,1.84,3.68,0.63,3.05,2.42,0.63,Card
T0000013,24-04-2024,S012,P0095,C03303,In-Store,3,3.74,11.22,0,11.22,6.6,4.62,Card
T0000014,04-04-2024,S027,P0120,C03157,In-Store,4,1.72,6.88,0,6.88,4.92,1.96,Card
T0000015,11-07-2025,S009,P0145,C01238,In-Store,5,2.73,13.65,0,13.65,10.55,3.1,Cash
T0000016,24-02-2025,S002,P0079,C04496,In-Store,1,6.62,6.62,0,6.62,5.21,1.41,UPI
T0000017,21-06-2025,S018,P0170,,In-Store,1,13.34,13.34,0,13.34,7.9,5.44,UPI
T0000018,02-04-2025,S022,P0121,C04918,Online,1,7.83,7.83,0,7.83,4.53,3.3,Card
T0000019,14-11-2024,S016,P0016,,In-Store,4,3.81,15.24,0,15.24,10.36,4.88,UPI
T0000020,14-09-2025,S017,P0177,,In-Store,1,19.4,19.4,3.1,16.3,13.69,2.61,Card
T0000021,19-03-2025,S021,P0030,C03245,In-Store,2,9.85,19.7,0,19.7,11.56,8.14,Cash
T0000022,30-10-2024,S015,P0031,C01838,In-Store,6,4.37,26.22,0,26.22,16.5,9.72,Cash
T0000023,04-01-2024,S025,P0007,C01755,In-Store,2,2.45,4.9,0,4.9,2.7,2.2,Cash
T0000024,25-07-2024,S025,P0001,C00007,In-Store,5,7.44,37.2,0,37.2,24.35,12.85,Cash
T0000025,20-08-2024,S020,P0093,,In-Store,3,7.9,23.7,0,23.7,17.67,6.03,Card
T0000026,09-09-2025,S022,P0164,C04736,Online,2,59.99,119.98,0,119.98,75.66,44.32,Cash
T0000027,19-02-2024,S001,P0015,C00580,In-Store,3,8.73,26.19,7.07,19.12,14.88,4.24,UPI
T0000028,16-05-2025,S021,P0136,C04119,In-Store,4,5.45,21.8,0,21.8,13.24,8.56,Card
T0000029,24-09-2024,S011,P0061,C02775,In-Store,2,1.77,3.54,0,3.54,2.68,0.86,Card
T0000030,23-10-2025,S017,P0150,C00426,In-Store,2,3.73,7.46,0,7.46,4.38,3.08,Card
T0000031,07-06-2024,S011,P0020,,In-Store,2,4.76,9.52,0,9.52,6.44,3.08,Card
T0000032,09-03-2025,S030,P0150,C00308,In-Store,6,3.73,22.38,0,22.38,13.14,9.24,Card
T0000033,07-02-2024,S022,P0140,C00659,In-Store,2,1.74,3.48,0,3.48,2.78,0.7,Cash
T0000034,28-03-2024,S020,P0165,C03604,Online,2,46.17,92.34,31.4,60.94,72.54,-11.6,Card
T0000035,20-12-2024,S021,P0143,C01152,Online,6,1,6,0,6,4.8,1.2,Cash
T0000036,30-09-2024,S015,P0034,C01216,In-Store,2,3.17,6.34,0,6.34,4.68,1.66,Cash
T0000037,20-04-2024,S005,P0097,C04810,Online,1,1.68,1.68,0,1.68,0.97,0.71,Card
T0000038,14-06-2025,S013,P0161,C02573,In-Store,2,22,44,0,44,32.26,11.74,Wallet
T0000039,17-01-2024,S015,P0100,C00124,In-Store,2,5.43,10.86,2.06,8.8,6.48,2.32,Card
T0000040,03-10-2024,S007,P0159,C03536,In-Store,2,59.48,118.96,0,118.96,81.38,37.58,Card
T0000041,17-06-2025,S004,P0045,,In-Store,4,5.82,23.28,0,23.28,14.36,8.92,Card
T0000042,17-06-2024,S024,P0175,C02894,Online,2,54.26,108.52,0,108.52,72.46,36.06,Card
T0000043,14-10-2024,S021,P0048,C00440,In-Store,1,7.74,7.74,0,7.74,6.12,1.62,Card
T0000044,05-05-2024,S008,P0036,C04542,Online,2,3.3,6.6,1.45,5.15,3.68,1.47,Cash
T0000045,10-08-2024,S002,P0022,,In-Store,1,7.12,7.12,0,7.12,4.35,2.77,Card
T0000046,20-03-2024,S029,P0034,C00389,In-Store,4,3.17,12.68,0,12.68,9.36,3.32,Card
T0000047,20-10-2024,S015,P0123,C02405,In-Store,4,7.57,30.28,0,30.28,17.2,13.08,UPI
T0000048,14-06-2025,S009,P0057,C03749,In-Store,1,7.25,7.25,0,7.25,4.94,2.31,UPI
T0000049,02-09-2024,S017,P0110,C01451,In-Store,3,5.68,17.04,0,17.04,13.32,3.72,UPI
T0000050,03-12-2024,S004,P0074,C03898,Online,1,5.99,5.99,0.42,5.57,3.71,1.86,Card
T0000051,26-10-2025,S020,P0051,C02227,In-Store,1,6.76,6.76,0,6.76,4.75,2.01,Card
T0000052,24-05-2024,S026,P0019,C00495,Online,3,6.76,20.28,0,20.28,15.15,5.13,Card
T0000053,14-12-2024,S003,P0080,C02635,In-Store,1,6.18,6.18,0,6.18,4.79,1.39,Card
T0000054,12-09-2024,S026,P0037,C04608,In-Store,5,5.08,25.4,0,25.4,17.95,7.45,UPI
T0000055,22-03-2025,S012,P0096,C04794,In-Store,4,5.91,23.64,0,23.64,18.56,5.08,Card
T0000056,18-02-2024,S014,P0119,C01538,In-Store,1,6.03,6.03,0.72,5.31,4.32,0.99,Card
T0000057,16-10-2024,S023,P0004,C01314,In-Store,3,11.84,35.52,0,35.52,25.08,10.44,Card
T0000058,27-01-2024,S012,P0085,,In-Store,3,5.24,15.72,0,15.72,10.02,5.7,Cash
T0000059,17-09-2025,S022,P0164,C00992,In-Store,1,59.99,59.99,0,59.99,37.83,22.16,Card
T0000060,26-10-2024,S025,P0137,C03788,In-Store,4,2.09,8.36,0,8.36,5.96,2.4,Card
T0000061,20-02-2024,S005,P0082,C03676,In-Store,1,6.85,6.85,0,6.85,5.46,1.39,UPI
T0000062,05-04-2025,S012,P0003,C02096,Online,1,7.23,7.23,0,7.23,4.86,2.37,Cash
T0000063,15-08-2024,S020,P0058,C00797,Online,3,6.24,18.72,1.87,16.85,12.27,4.58,Wallet
T0000064,16-06-2024,S027,P0001,C01999,In-Store,4,7.44,29.76,0,29.76,19.48,10.28,Card
T0000065,26-05-2024,S011,P0038,C02906,In-Store,4,7.9,31.6,0,31.6,18.28,13.32,Card
T0000066,04-03-2025,S026,P0171,C01523,Online,2,17.89,35.78,5.37,30.41,20.08,10.33,Cash
T0000067,18-06-2024,S025,P0144,C00804,In-Store,5,2.1,10.5,0,10.5,6.7,3.8,Card
T0000068,13-02-2025,S025,P0068,C02368,Online,2,6.08,12.16,0,12.16,6.9,5.26,Cash
T0000069,13-06-2025,S027,P0169,C02276,In-Store,2,41.83,83.66,0,83.66,47.5,36.16,Card
T0000070,25-02-2024,S019,P0038,C01256,In-Store,3,7.9,23.7,0,23.7,13.71,9.99,Cash
T0000071,20-07-2025,S025,P0130,C03768,In-Store,1,4.61,4.61,0,4.61,3.5,1.11,Card
T0000072,05-06-2025,S011,P0029,C00052,In-Store,1,8.85,8.85,0,8.85,6.67,2.18,Cash
T0000073,06-05-2025,S020,P0034,C00011,In-Store,5,3.17,15.85,1.11,14.74,11.7,3.04,UPI
T0000074,14-08-2024,S026,P0072,,In-Store,2,6.88,13.76,0,13.76,8.8,4.96,Card
T0000075,05-12-2024,S020,P0159,,In-Store,2,59.48,118.96,0,118.96,81.38,37.58,Card
T0000076,01-05-2025,S020,P0138,,In-Store,4,1.34,5.36,0,5.36,3.92,1.44,UPI
T0000077,07-02-2025,S021,P0086,C03489,In-Store,2,6.41,12.82,0,12.82,7.8,5.02,Card
T0000078,27-05-2025,S005,P0057,C02686,In-Store,3,7.25,21.75,0,21.75,14.82,6.93,Card
T0000079,21-08-2024,S001,P0129,C00829,In-Store,5,4.05,20.25,0,20.25,15.15,5.1,Cash
T0000080,27-08-2025,S006,P0139,C00582,Online,1,2.82,2.82,0,2.82,1.83,0.99,Card
T0000081,09-04-2025,S020,P0102,C02645,In-Store,4,3.56,14.24,0,14.24,8.24,6,Card
T0000082,07-03-2024,S018,P0159,C04090,In-Store,1,59.48,59.48,0,59.48,40.69,18.79,Cash
T0000083,10-01-2024,S013,P0113,C02401,In-Store,1,4.02,4.02,0,4.02,2.77,1.25,Cash
T0000084,09-09-2024,S023,P0056,C01390,In-Store,4,3.6,14.4,0.29,14.11,9.84,4.27,Card
T0000085,14-05-2024,S002,P0128,C02343,In-Store,6,1.84,11.04,0,11.04,7.26,3.78,Card
T0000086,01-04-2024,S003,P0154,C03881,In-Store,2,56.12,112.24,0,112.24,81.36,30.88,Card
T0000087,26-01-2025,S010,P0015,C03250,In-Store,4,8.73,34.92,0,34.92,19.84,15.08,UPI
T0000088,15-05-2024,S022,P0149,C02380,In-Store,1,5.59,5.59,0.73,4.86,4.16,0.7,Card
